service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,zone_min_weight,zone_max_weight,max_length,max_width,max_height,rate,cost,zone_id,postal_codes,cities,active,currency,weight_unit,dimension_unit,transit_days,domicile,international,included_compensation,package_format_identifier,notes,meta_source_url,meta_effective_date,veryfy price,fuel_energy_surcharge_percentage,green_surcharge_amount,peak_surcharge_amount,peak_surcharge_start_date,peak_surcharge_end_date,signature_surcharge_amount,age_verification_surcharge_amount,id_verification_surcharge_amount,signature_surcharge_letter_amount,signature_surcharge_large_letter_amount,signature_surcharge_parcel_amount,oversized_surcharge_amount_per_kg,oversized_surcharge_threshold_kg,oversized_surcharge_max_weight_kg,oversized_surcharge_rounding,use_royalmail_international_sidecar_rates
royal_mail_48_Small_Parcel,Royal Mail 48 (01 / 214655C2),CRL48,02,tracked:b2c:b2b,Domestic,GB,0.001,2000,,,350,450,160,4.15,4.15,gb_domestic,,,False,GBP,G,MM,2,True,False,,smallParcel,Account Large Letter 100g from-rate; optional signature add-on applies.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,16,0.05,0.12,2026-11-17,2027-01-09,2.00,,,,,,,,,,
royal_mail_International_Business_Parcel_Zero_Sort_Low_Volume_Priority,International Business Parcel Zero Sort Low Volume Priority (01 / X1006082),DE4,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.12,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Parcel_Untracked_DDP,International Business Parcel Untracked DDP (01 / X1006082),DE6,01,b2c:b2b:ddp,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.12,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Mail_Large_Letter_Country_Sort_Low_Volume_Priority,International Business Mail Large Letter Country Sort Low Volume Priority (01 / X1006082),DG4,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.07,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Mail_Untracked_Country_Priced,International Business Mail Untracked Country Priced (01 / X1006082),DP3,01,b2c:b2b:Insurance,Europe,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,,,,,,,,,,,,,,
parcel_force_europe_insured_150,globalpriority Europe Comp 1 (01 / Y5013288),EC1,01,b2b:email_notifications:sms_notifications:signature,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europe_insured_750,globalpriority Europe Comp 2 (01 / Y5013288),EC2,01,b2c:email_notifications:b2b:Insurance:signature,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europe_insured_2500,globalpriority Europe Comp 3 (01 / Y5013288),EC3,01,b2c:email_notifications:b2b:Insurance:signature,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europe,globalpriority Europe (01 / Y5013288),ECA,01,b2c:email_notifications:b2b:signature,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,5,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europriority_dtp_ioss_insured_150,europriority DTP IOSS Comp 1 (01 / Y5013288),ER1,01,b2c:email_notifications:b2b:ioss:Insurance:signature:dtp,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europriority_dtp_ioss_insured_750,europriority DTP IOSS Comp 2 (01 / Y5013288),ER2,01,b2c:email_notifications:b2b:ioss:Insurance:signature:dtp,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europriority_dtp_ioss_insured_2500,europriority DTP IOSS Comp 3 (01 / Y5013288),ER3,01,b2c:email_notifications:b2b:ioss:Insurance:signature:dtp,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_europriority_dtp_ioss,europriority DTP IOSS (01 / Y5013288),ERA,01,b2c:email_notifications:b2b:ioss:signature:dtp,Europe,,0.001,30000,,,1500,1500,1500,,,intl_europe,,,False,GBP,G,MM,,True,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_globalpriority_insured_100,globalpriority ROW Comp 1 (01 / Y5013288),GP1,01,b2c:email_notifications:b2b:Insurance:signature,International,,0.001,30000,,,1500,1500,1500,,,intl_row,,,False,GBP,G,MM,,False,True,0,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_globalpriority_insured_750,globalpriority ROW Comp 2 (01 / Y5013288),GP2,01,b2c:email_notifications:b2b:Insurance:signature,International,,0.001,30000,,,1500,1500,1500,,,intl_row,,,False,GBP,G,MM,,False,True,100,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_globalpriority_insured_2500,globalpriority ROW Comp 3 (01 / Y5013288),GP3,01,b2c:email_notifications:b2b:Insurance:signature,International,,0.001,30000,,,1500,1500,1500,,,intl_row,,,False,GBP,G,MM,,False,True,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_globalpriority_row,globalpriority ROW (01 / Y5013288),GPA,01,b2c:email_notifications:b2b:signature,International,,0.001,30000,,,1500,1500,1500,,,intl_row,,,False,GBP,G,MM,5,False,True,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express_am,expressAM (01 / 915178FE),FEE,01,tracked:express:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,7.44,7.44,gb_domestic_parcelforce,,,False,GBP,G,MM,1,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_am_insured_200,expressAM Comp 1 (01 / 915178FF),FEF,01,tracked:express:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,1,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_am_insured_750,expressAM Comp 2 (01 / 915178FG),FEG,01,tracked:express:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,1,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_am_insured_2500,expressAM Comp 3 (01 / 915178FL),FEL,01,tracked:express:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,1,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_24,express24 (01 / 915178NA),NDA,01,tracked:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,5.28,5.28,gb_domestic_parcelforce,,,True,GBP,G,MM,1,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_24_insured_150,express24 Comp 1 (01 / 915178NB),NDB,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,10.28,10.28,gb_domestic_parcelforce,,,True,GBP,G,MM,1,True,False,150,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_24_insured_750,express24 Comp 2 (01 / 915178NC),NDC,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,1,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_24_insured_2500,express24 Comp 3 (01 / 915178NE),NDE,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,28.11,28.11,gb_domestic_parcelforce,,,True,GBP,G,MM,1,True,False,2500,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express24_returns,express24 Returns (01 / 915178R0),RT0,01,return:tracked:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,5.29,5.29,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express24_returns_insured_150,express24 Returns Comp 1 (01 / 915178R1),RT1,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express24_returns_insured_750,express24 Returns Comp 2 (01 / 915178R2),RT2,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express24_returns_insured_2500,express24 Returns Comp 3 (01 / 915178R3),RT3,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,1,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express_48,express48 (01 / 915178F0),FE0,01,tracked:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,12.20,12.20,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_48_insured_150,express48 Comp 1 (01 / 915178F1),FE1,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_48_insured_750,express48 Comp 2 (01 / 915178F2),FE2,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_48_insured_2500,express48 Comp 3 (01 / 915178F3),FE3,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,0.70,2.40,,,,,,,,,
parcel_force_express_48_large,express48 Large (01 / 915178FM),FEM,01,tracked:b2c:email_notifications:b2b:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,10.6,10.6,gb_domestic_parcelforce,,,True,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,,,,,,
parcel_force_express_48_large_insured_150,express48 Large Comp 1 (01 / 915178FN),FEN,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,,,,,,
parcel_force_express_48_large_insured_750,express48 Large Comp 2 (01 / 915178FO),FEO,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,,,,,,
parcel_force_express_48_large_insured_2500,express48 Large Comp 3 (01 / 915178FP),FEP,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,,,,,,
parcel_force_express_48_returns,express48 Returns (01 / 915178RA),RTA,01,return:tracked:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,18.95,18.95,gb_domestic_returns,,,True,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express_48_returns_insured_150,express48 Returns Comp 1 (01 / 915178RB),RTB,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express_48_returns_insured_750,express48 Returns Comp 2 (01 / 915178RC),RTC,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
parcel_force_express_48_returns_insured_2500,express48 Returns Comp 3 (01 / 915178RD),RTD,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Parcel_Zone_Sort_Priority,International Business Parcel Zone Sort Priority (01 / X1006082),IE1,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.12,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Mail_Large_Letter_Zone_Sort_Priority,International Business Mail Large Letter Zone Sort Priority (01 / X1006082),IG1,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.07,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_International_Business_Mail_Large_Letter_Zone_Sort_Priority_Machineable,International Business Mail Large Letter Zone Sort Priority Machineable (01 / X1006082),IG4,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.07,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_international_tracked_and_signed_ppi,International Tracked and Signed PPI (01 / X1006082),LLG,01,tracked:signature:b2c:b2b,International,,0.001,750,,,,,,8.6,8.6,intl_generic,,,False,GBP,G,MM,,False,True,,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,,,,,,
royal_mail_international_tracked_ppi,International Tracked PPI (01 / X1006082),LLH,01,tracked:b2c:b2b,International,,0.001,2000,,,,,,9.6,9.6,intl_generic,,,False,GBP,G,MM,,False,True,,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,,,,,,
royal_mail_international_signed_for_ppi,International Signed For PPI (01 / X1006082),LLI,01,signature:b2c:b2b,International,,0.001,2000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,,,,,,
royal_mail_international_business_parcel_tracked,International Business Parcel Tracked (01 / X1006082),MP1,01,tracked:b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.12,2026-11-17,2027-01-09,,,,,,,,,,,
royal_mail_international_business_parcel_tracked_extra_compensation,International Business Parcel Tracked Extra Compensation (01 / X1006082),MP4,01,tracked:b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.12,2026-11-17,2027-01-09,,,,,,,,,,,
